step,column,levers_active,metric,value,increment_vs_prev,delta_vs_baseline
0,Baseline,,mean wait (min),28.0085,,
1,+ Matching,matching,mean wait (min),17.783,-10.2255,-10.2255
2,+ Smoothing,matching|appointment_smoothing,mean wait (min),17.5876,-0.1954,-10.4209
3,+ Prep ⚠,matching|appointment_smoothing|prep_in_queue,mean wait (min),8.6382,-8.9494,-19.3703
4,+ Deflection ⚠,matching|appointment_smoothing|prep_in_queue|deflection,mean wait (min),7.9373,-0.7009,-20.0712
5,+ Running Late  (= COMBINED),matching|appointment_smoothing|prep_in_queue|deflection|running_late,mean wait (min),7.9759,0.0386,-20.0326
0,Baseline,,p90 wait (min),51.4867,,
1,+ Matching,matching,p90 wait (min),49.4649,-2.0218,-2.0218
2,+ Smoothing,matching|appointment_smoothing,p90 wait (min),50.537,1.0721,-0.9497
3,+ Prep ⚠,matching|appointment_smoothing|prep_in_queue,p90 wait (min),26.2896,-24.2474,-25.1971
4,+ Deflection ⚠,matching|appointment_smoothing|prep_in_queue|deflection,p90 wait (min),24.163,-2.1266,-27.3237
5,+ Running Late  (= COMBINED),matching|appointment_smoothing|prep_in_queue|deflection|running_late,p90 wait (min),24.2759,0.113,-27.2107
0,Baseline,,in-office served/day,372.03,,
1,+ Matching,matching,in-office served/day,379.08,7.05,7.05
2,+ Smoothing,matching|appointment_smoothing,in-office served/day,377.2,-1.88,5.17
3,+ Prep ⚠,matching|appointment_smoothing|prep_in_queue,in-office served/day,383.15,5.95,11.12
4,+ Deflection ⚠,matching|appointment_smoothing|prep_in_queue|deflection,in-office served/day,376.17,-6.98,4.14
5,+ Running Late  (= COMBINED),matching|appointment_smoothing|prep_in_queue|deflection|running_late,in-office served/day,376.995,0.825,4.965
0,Baseline,,resolved digitally/day,0.0,,
1,+ Matching,matching,resolved digitally/day,0.0,0.0,0.0
2,+ Smoothing,matching|appointment_smoothing,resolved digitally/day,0.0,0.0,0.0
3,+ Prep ⚠,matching|appointment_smoothing|prep_in_queue,resolved digitally/day,0.0,0.0,0.0
4,+ Deflection ⚠,matching|appointment_smoothing|prep_in_queue|deflection,resolved digitally/day,7.765,7.765,7.765
5,+ Running Late  (= COMBINED),matching|appointment_smoothing|prep_in_queue|deflection|running_late,resolved digitally/day,7.765,0.0,7.765
0,Baseline,,abandoned/day,17.905,,
1,+ Matching,matching,abandoned/day,10.415,-7.49,-7.49
2,+ Smoothing,matching|appointment_smoothing,abandoned/day,10.16,-0.255,-7.745
3,+ Prep ⚠,matching|appointment_smoothing|prep_in_queue,abandoned/day,4.7,-5.46,-13.205
4,+ Deflection ⚠,matching|appointment_smoothing|prep_in_queue|deflection,abandoned/day,4.11,-0.59,-13.795
5,+ Running Late  (= COMBINED),matching|appointment_smoothing|prep_in_queue|deflection|running_late,abandoned/day,4.115,0.005,-13.79
0,Baseline,,turned away/day,6.155,,
1,+ Matching,matching,turned away/day,6.595,0.44,0.44
2,+ Smoothing,matching|appointment_smoothing,turned away/day,6.67,0.075,0.515
3,+ Prep ⚠,matching|appointment_smoothing|prep_in_queue,turned away/day,6.18,-0.49,0.025
4,+ Deflection ⚠,matching|appointment_smoothing|prep_in_queue|deflection,turned away/day,6.085,-0.095,-0.07
5,+ Running Late  (= COMBINED),matching|appointment_smoothing|prep_in_queue|deflection|running_late,turned away/day,6.09,0.005,-0.065
0,Baseline,,predicted CSAT (0-100),77.3102,,
1,+ Matching,matching,predicted CSAT (0-100),80.693,3.3828,3.3828
2,+ Smoothing,matching|appointment_smoothing,predicted CSAT (0-100),80.5175,-0.1755,3.2073
3,+ Prep ⚠,matching|appointment_smoothing|prep_in_queue,predicted CSAT (0-100),82.888,2.3705,5.5778
4,+ Deflection ⚠,matching|appointment_smoothing|prep_in_queue|deflection,predicted CSAT (0-100),83.0284,0.1404,5.7181
5,+ Running Late  (= COMBINED),matching|appointment_smoothing|prep_in_queue|deflection|running_late,predicted CSAT (0-100),83.0155,-0.0128,5.7053
0,Baseline,,predicted CSAT (5-pt),4.0,,
1,+ Matching,matching,predicted CSAT (5-pt),4.2151,0.2151,0.2151
2,+ Smoothing,matching|appointment_smoothing,predicted CSAT (5-pt),4.2044,-0.0107,0.2044
3,+ Prep ⚠,matching|appointment_smoothing|prep_in_queue,predicted CSAT (5-pt),4.3451,0.1407,0.3451
4,+ Deflection ⚠,matching|appointment_smoothing|prep_in_queue|deflection,predicted CSAT (5-pt),4.3531,0.008,0.3531
5,+ Running Late  (= COMBINED),matching|appointment_smoothing|prep_in_queue|deflection|running_late,predicted CSAT (5-pt),4.3524,-0.0007,0.3524
0,Baseline,,appt p90 lateness (min),0.0,,
1,+ Matching,matching,appt p90 lateness (min),0.0,0.0,0.0
2,+ Smoothing,matching|appointment_smoothing,appt p90 lateness (min),0.0,0.0,0.0
3,+ Prep ⚠,matching|appointment_smoothing|prep_in_queue,appt p90 lateness (min),0.0,0.0,0.0
4,+ Deflection ⚠,matching|appointment_smoothing|prep_in_queue|deflection,appt p90 lateness (min),0.0,0.0,0.0
5,+ Running Late  (= COMBINED),matching|appointment_smoothing|prep_in_queue|deflection|running_late,appt p90 lateness (min),0.0,0.0,0.0
